name,read,total,source,field,isEmpty
司马,Sī Mǎ,人口不详,司马姓源出官职，为西周掌管军事的官职。,主要分布于河南、山西、安徽等地。,
上官,Shàng Guān,人口不详,上官姓源出芈姓，为春秋时期楚国公族的后裔。,主要分布于江西、福建、浙江等地。,
欧阳,Ōu Yáng,约 324 万,欧阳姓源出姒姓，为春秋时期越国君主无疆的后裔。,主要分布于湖南、江西、广东等地。,
夏侯,Xià Hóu,人口不详,夏侯姓源出姒姓，为大禹的后裔。,主要分布于山东、安徽、江苏等地。,
诸葛,Zhū Gě,约 4.7 万,诸葛姓源出葛姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、山东等地。,
闻人,Wén Rén,人口不详,闻人姓源出少正氏，为春秋时期鲁国大夫少正卯的后裔。,主要分布于浙江、江苏、上海等地。,
东方,Dōng Fāng,人口不详,东方姓源出伏羲氏，为上古伏羲氏的后裔。,主要分布于山东、江苏、黑龙江等地。,
赫连,Hè Lián,人口不详,赫连姓源出匈奴族，为十六国时期夏国的国姓。,主要分布于陕西、山西、河南等地。,
皇甫,Huáng Fǔ,约 5.3 万,皇甫姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于甘肃、河南、江苏等地。,
尉迟,Yù Chí,人口不详,尉迟姓源出鲜卑族，为北魏时期的部落姓氏。,主要分布于山西、河北、陕西等地。,
公羊,Gōng Yáng,人口不详,公羊姓源出姬姓，为春秋时期鲁国公孙羊孺的后裔。,主要分布于山东、江苏、浙江等地,
澹台,Tán Tái,人口不详,澹台姓源出姬姓，为春秋时期鲁国孔子弟子澹台灭明的后裔。,主要分布于河南、山东、江苏等地,
公冶,Gōng Yě,人口不详,公冶姓源出姬姓，为春秋时期鲁国大夫季公冶的后裔。,主要分布于山东、河南、辽宁等地,
宗政,Zōng Zhèng,人口不详,宗政姓源出刘姓，为汉朝楚元王刘交的后裔。,主要分布于江苏、浙江、安徽等地,
濮阳,Pú Yáng,人口不详,濮阳姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北等地,
淳于,Chún Yú,人口不详,淳于姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、安徽、浙江等地,
单于,Chán Yú,人口不详,单于是匈奴人对他们部落联盟首领的专称。,历史上主要分布于内蒙古、甘肃、宁夏等地,
太叔,Tài Shū,人口不详,太叔姓源出姬姓，为春秋时期卫国大夫太叔段的后裔。,主要分布于河南、山东、山西等地,
申屠,Shēn Tú,约 14 万,申屠姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽等地,
公孙,Gōng Sūn,人口不详,公孙姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北等地,
仲孙,Zhòng Sūn,人口不详,仲孙姓源出姬姓，为春秋时期鲁国大夫仲孙湫的后裔。,主要分布于山东、江苏、黑龙江等地,
轩辕,Xuān Yuán,约 2.8 万,轩辕姓源出姬姓，为黄帝的后裔。,主要分布于河南、河北、安徽等地,
令狐,Líng Hú,约 2.3 万,令狐姓源出姬姓，为春秋时期晋国大夫魏颗的后裔。,主要分布于山西、陕西、甘肃等地,
钟离,Zhōng Lí,人口不详,钟离姓源出嬴姓，为春秋时期楚国大夫伯州犁的后裔。,主要分布于安徽、江苏、浙江等地,
宇文,Yǔ Wén,约 2.1 万,宇文姓源出匈奴族，为鲜卑族部落首领的姓氏。,主要分布于陕西、河北、辽宁等地,
长孙,Zhǎng Sūn,人口不详,长孙姓源出拓跋氏，为北魏皇室的姓氏。,主要分布于河南、山东、山西等地,
慕容,Mù Róng,约 7.8 万,慕容姓源出鲜卑族，为十六国时期前燕、后燕、南燕的国姓。,主要分布于河北、辽宁、内蒙古等地,
鲜于,Xiān Yú,人口不详,鲜于姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于北京、天津、河北等地,
闾丘,Lǘ Qiū,人口不详,闾丘姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、江苏等地,
司徒,Sī Tú,约 4.7 万,司徒姓源出官职，为西周掌管国家土地和人民的官职。,主要分布于河北、河南、山西等地,
司空,Sī Kōng,人口不详,司空姓源出官职，为西周掌管工程的官职。,主要分布于河南、河北、山西等地,
亓官,Qí Guān,人口不详,亓官姓源出官职，为春秋时期鲁国掌管笄礼的官职。,主要分布于山东、河南等地,
司寇,Sī Kòu,人口不详,司寇姓源出官职，为西周掌管刑狱的官职。,主要分布于河南、陕西等地,
仉,Zhǎng,人口不详,仉姓源出党姓，为春秋时期鲁国大夫党氏的后裔。,主要分布于山东、河北等地,
督,Dū,人口不详,督姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于河北、辽宁等地,
子车,Zǐ Jū,人口不详,子车姓源出嬴姓，为春秋时期秦国大夫子车奄息的后裔。,主要分布于陕西、甘肃等地,
颛孙,Zhuān Sūn,人口不详,颛孙姓源出妫姓，为春秋时期陈国公子颛孙的后裔。,主要分布于山东、河南等地,
端木,Duān Mù,约 5.8 万,端木姓源出姬姓，为春秋时期卫国大夫端木赐的后裔。,主要分布于河南、山东、安徽等地,
巫马,Wū Mǎ,人口不详,巫马姓源出官职，为春秋时期鲁国掌管养马的官职。,主要分布于山东、江苏等地,
公西,Gōng Xī,人口不详,公西姓源出姬姓，为春秋时期鲁国大夫公西华的后裔。,主要分布于山东、河南等地,
漆雕,Qī Diāo,人口不详,漆雕姓源出职业，为春秋时期鲁国的工匠姓氏。,主要分布于山东、河北等地,
乐正,Yuè Zhèng,人口不详,乐正姓源出官职，为西周掌管乐舞的官职。,主要分布于陕西、河南等地,
壤驷,Rǎng Sì,人口不详,壤驷姓源出姬姓，为春秋时期秦国贵族的姓氏。,主要分布于陕西、甘肃等地,
公良,Gōng Liáng,人口不详,公良姓源出姬姓，为春秋时期陈国公子良的后裔。,主要分布于河南、安徽等地,
拓跋,Tuò Bá,约 1.2 万,拓跋姓源出鲜卑族，为北魏皇室的姓氏。,主要分布于河南、河北、山西等地,
夹谷,Jiá Gǔ,人口不详,夹谷姓源出女真族，为金朝的部落姓氏。,主要分布于山东、辽宁等地,
宰父,Zǎi Fǔ,人口不详,宰父姓源出官职，为春秋时期鲁国掌管法令的官职。,主要分布于山东、河南等地,
谷梁,Gǔ Liáng,人口不详,谷梁姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、江苏等地,
晋,Jìn,约 230 万,晋姓源出姬姓，为春秋时期晋国的国姓。,主要分布于山西、河南、陕西等地,
楚,Chǔ,约 280 万,楚姓源出芈姓，为春秋时期楚国的国姓。,主要分布于湖南、湖北、江西等地,
闫,Yán,约 420 万,闫姓源出姬姓，为春秋时期晋国大夫闫嘉的后裔。,主要分布于河南、山东、河北、山西等地,
法,Fǎ,约 21 万,法姓源出田姓，为战国时期齐国襄王法章的后裔。,主要分布于江苏、浙江、安徽、山东等地,
汝,Rǔ,人口不详,汝姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、安徽、山东、江苏等地,
鄢,Yān,约 38 万,鄢姓源出妘姓和地名，是一个多民族、多源流的姓氏。,主要分布于湖北、湖南、江西、河南等地,
涂,Tú,约 105 万,涂姓源出赢姓和地名，是一个多民族、多源流的姓氏。,主要分布于江西、湖北、安徽、浙江等地,
钦,Qīn,约 10 万,钦姓源出乌桓族和地名，是一个多民族、多源流的姓氏。,主要分布于安徽、浙江、江苏、山东等地,
段干,Duàn Gān,人口不详,段干姓源出李姓，为春秋时期道家学派创始人老子的后裔。,主要分布于河南、陕西、山西等地,
百里,Bǎi Lǐ,人口不详,百里姓源出姬姓，为春秋时期秦国大夫百里奚的后裔。,主要分布于陕西、甘肃、河南等地,
东郭,Dōng Guō,人口不详,东郭姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、江苏等地,
南门,Nán Mén,人口不详,南门姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、安徽等地,
呼延,Hū Yán,约 10 万,呼延姓源出匈奴族，为古代匈奴族的一个部落名称。,主要分布于山西、陕西、内蒙古等地,
归海,Guī Hǎi,人口不详,归海姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、浙江等地,
羊舌,Yáng Shé,人口不详,羊舌姓源出姬姓，为春秋时期晋国大夫羊舌肸的后裔。,主要分布于山西、陕西、河南等地,
微生,Wēi Shēng,人口不详,微生姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、江苏等地,
岳,Yuè,约 142 万,岳姓源出姜姓，为上古四岳的后裔。,主要分布于河南、山东、安徽、湖北等地,
帅,Shuài,约 20 万,帅姓源出师姓，为避晋景帝司马师之名讳而改。,主要分布于浙江、江苏、安徽等地,
缑,Gōu,人口不详,缑姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、陕西、山西等地,
亢,Kàng,约 16 万,亢姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山西、河北、河南等地,
况,Kuàng,约 24 万,况姓源出姚姓和地名，是一个多民族、多源流的姓氏。,主要分布于江西、安徽、江苏等地,
后,Hòu,约 8 万,后姓源出太昊氏和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽等地,
有,Yǒu,人口不详,有姓源出祝融氏和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、安徽等地,
琴,Qín,约 12 万,琴姓源出职业和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽等地,
梁丘,Liáng Qiū,人口不详,梁丘姓源出姬姓，为春秋时期齐国大夫梁丘据的后裔。,主要分布于山东、河南等地,
左丘,Zuǒ Qiū,人口不详,左丘姓源出姬姓，为春秋时期鲁国太史左丘明的后裔。,主要分布于山东、江苏等地,
东门,Dōng Mén,人口不详,东门姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南等地,
西门,Xī Mén,人口不详,西门姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东等地,
商,Shāng,约 110 万,商姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东等地,
牟,Móu,约 50 万,牟姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、四川、重庆等地,
佘,Shé,约 60 万,佘姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于广东、湖南、湖北等地,
佴,Nài,约 2 万,佴姓源出地名和少数民族，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽等地,
伯,Bó,约 15 万,伯姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北等地,
赏,Shǎng,人口不详,赏姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江等地,
南宫,Nán Gōng,人口不详,南宫姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东等地,
墨,Mò,约 45 万,墨姓源出子姓，为商朝孤竹君的后裔。,主要分布于山东、河北、河南等地,
哈,Hā,约 7 万,哈姓源出少数民族，为回族、蒙古族等民族的姓氏。,主要分布于新疆、甘肃、宁夏等地,
谯,Qiáo,约 15 万,谯姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于安徽、四川、江苏等地,
笪,Dá,约 5 万,笪姓源出地名和职业，是一个多民族、多源流的姓氏。,主要分布于江苏、江西等地,
年,Nián,约 11 万,年姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于安徽、江苏、浙江等地,
爱,Ài,人口不详,爱姓源出唐代西域回鹘国和赐姓，是一个多民族、多源流的姓氏。,主要分布于河南、河北等地,
阳,Yáng,约 67 万,阳姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于四川、湖南、湖北等地,
佟,Tóng,约 83 万,佟姓源出女真族和地名，是一个多民族、多源流的姓氏。,主要分布于辽宁、河北、黑龙江等地,
第五,Dì Wǔ,约 1.2 万,第五姓源出田姓，为汉高祖刘邦强迁齐国田氏诸族时所改。,主要分布于陕西、甘肃、山西等地,
言,Yán,约 11 万,言姓源出姬姓，为春秋时期吴国公子言偃的后裔。,主要分布于江苏、上海、浙江等地,
福,Fú,人口不详,福姓源出百济国和赐姓，是一个多民族、多源流的姓氏。,主要分布于福建、浙江、北京等地,
